fish_id,name_english,alt_name,name_latin,swim,cm_max,uncare,breeding_difficulty,availability,school,tank_size_liter,temperature_min,temperature_max,agression,origin,region,isfish,phmin,phmax,more,family
385,Bluegill Sunfish,,Lepomis macrochirus,2,35,3,4,2,1,265,5,23,3,"United States, Canada,",8,1,6.5,8.5,0,Centrarchidae
392,Ornate bichir,,Polypterus ornatipinnis,1,55,3,4,1,1,650,25,28,2,West Africa,2,1,6,8,1,Polypteridae
393,West African Bichir,Retropinnis bichir,Polypterus retropinnis,1,35,3,4,1,1,200,25,28,2,"West Africa, Congo Basin",2,1,6,8,0,Polypteridae
394,Barred bichir,,Polypterus delhezi,1,35,3,4,2,1,200,24,30,2,Congo Basin,2,1,6,8,0,Polypteridae
395,Ropefish,Reedfish,Erpetoichthys calabaricus,1,37,3,4,1,1,540,23,30,2,"Congo Basin, Angola, Nigeria,",2,1,6,8,0,Polypteridae
396,Hingemouth,,Phractolaemus ansorgii,1,25,2,4,1,1,135,23,28,2,Congo Basin,2,1,6,7.5,0,Phractolaemidae
397,Blunt-jawed elephantnose,Worm-Jawed Mormyrid,Campylomormyrus tamandua,2,40,1,4,1,2,650,23,28,2,West Africa,2,1,6,7.5,0,Mormyridae
398,Peter’s elephantnose,,Gnathonemus petersii,2,22.5,1,4,2,2,250,23,28,2,Central Africa,2,1,6.5,7.5,0,Mormyridae
399,African butterflyfish,,Pantodon buchholzi,3,12,2,3,1,2,95,23,30,2,Central Africa,2,1,6,7.5,0,Pantodontidae
400,African knifefish,,Xenomystus nigri,2,30,3,4,2,1,200,23,28,2,West Africa,2,1,6,7.5,0,Notopteridae
401,Clown knifefish,,Chitala ornata,1,80,2,3,1,1,475,20,28,2,"Thailand, Laos, Cambodia, Vietnam,",3,1,6,7.5,1,Notopteridae
402,Freshwater pipefish,,Doryichthys martensii,1,15,1,4,1,2,120,24,28,2,"Thailand, Sunda Islands",3,1,6,7.5,0,Syngnathidae
403,African freshwater pipefish,,Enneacampus ansorgii,1,14,2,4,1,2,120,24,28,2,West Africa,2,1,6,7.5,0,Syngnathidae
404,Peacock Spiny Eel,Spotfinned spiny eel,Macrognathus siamensis,1,30,2,4,1,1,265,24,28,2,"Sumatra, Malaysia, Thailand,",3,1,6,7.5,0,Mastacembelidae
